facilityId,facilityName,siteAddress,streetNumber,streetDirection,streetName,streetType,streetUnit,city,state,zip,typeOfFacility,categoryOfFacility,inspectionType,inspectionDate,violationCode,violation,violationPoints,violationType,violationStatus,inspectionScore,location,concat_address,split_coords,google_coords
FA0005140,BOULDER BEEF (MOBILE PRE-PKG),24249 COUNTY RD,24249,,COUNTY,RD,,Lasalle,CO,80645,MOBILE UNIT PREPACKAGED,PRE PACKAGED,ROUTINE INSPECTION,6/2/2018,04C,In Place,0,Critical,Not Applicable,0,"24249 COUNTY RD
Lasalle, CO 80645",24249 COUNTY RD Lasalle CO USA,,"40.3202837,-103.6914147"
FA0000679,QDOBA MEXICAN GRILL #2030,1625 28TH ST,1625,,28TH,ST,,BOULDER,CO,803011001,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,4/12/2017,04B,Mechanical,0,Critical,In,35,"1625 28TH ST
BOULDER, CO 803011001
(40.015368, -105.258483)",1625 28TH ST BOULDER CO USA,"40.015368, -105.258483","40.0153594,-105.2589612"
FA0005261,MOUNTAIN VIEW GRILL 2  (MOBILE),101 E BISON HWY,101,E,BISON,HWY,,Hudson,CO,80642,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,4/14/2018,03F,Food Thermometer,0,Critical,In,5,"101 E BISON HWY
Hudson, CO 80642",101 E BISON HWY Hudson CO USA,,"40.0780884,-104.6503559"
FA0000100,CUPPA HOUSE COFFEE & TEA,1102 FRANCIS ST,1102,,FRANCIS,ST,,LONGMONT,CO,805013704,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,10/29/2019,FC46,Gloves used properly,2,,Not Observed,30,"1102 FRANCIS ST
LONGMONT, CO 805013704
(40.177678, -105.116527)",1102 FRANCIS ST LONGMONT CO USA,"40.177678, -105.116527","40.1779437,-105.1160281"
FA0003437,(CU) C4C THE BAKERY,2249 WILLARD LOOP DR UNIT N170,2249,,WILLARD LOOP,DR,N170,BOULDER,CO,80309-0154,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,4/9/2018,04A,Manual,0,Critical,In,2,"2249 WILLARD LOOP DR UNIT N170
BOULDER, CO 80309-0154
(40.004705, -105.265864)",2249 WILLARD LOOP DR UNIT N170 BOULDER CO USA,"40.004705, -105.265864","40.0045248,-105.2649229"
FA0005083,AREPA JOINT THE (MOBILE),4920 PEARL ST UNIT C&D,4920,,PEARL,ST,C&D,BOULDER,CO,80301,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,10/8/2019,FC07,"No discharge from eyes, nose, and mouth",5,Critical,In,0,"4920 PEARL ST UNIT C&D
BOULDER, CO 80301
(40.025673, -105.238076)",4920 PEARL ST UNIT C&D BOULDER CO USA,"40.025673, -105.238076","40.025388,-105.2377392"
FA0003541,WOOD GRAIN BAGELS,2525 ARAPAHOE AVE UNIT E 1A,2525,,ARAPAHOE,AVE,E 1A,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,10/17/2019,FC47,"Food & non-food contact surfaces cleanable, properly designed, constructed, & used",5,,Not Observed,60,"2525 ARAPAHOE AVE UNIT E 1A
BOULDER, CO 80302
(40.014691, -105.262043)",2525 ARAPAHOE AVE UNIT E 1A BOULDER CO USA,"40.014691, -105.262043","40.0152398,-105.2600413"
FA0000024,ABOS PIZZA SOUTH,637 S BROADWAY ST UNIT S,637,S,BROADWAY,ST,S,BOULDER,CO,80305,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/11/2019,FC51,Plumbing installed; proper backflow devices,10,,Not Observed,45,"637 S BROADWAY ST UNIT S
BOULDER, CO 80305
(39.984339, -105.248924)",637 S BROADWAY ST UNIT S BOULDER CO USA,"39.984339, -105.248924","39.7050752,-104.9875752"
FA0001380,BIG DADDY BAGELS,489 N HWY 287 STE 110,489,N,HWY 287,,110,LAFAYETTE,CO,800268901,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,10/18/2019,FC19,Proper reheating procedures for hot holding,20,Critical,Not Applicable,0,"489 N HWY 287 STE 110
LAFAYETTE, CO 800268901
(40.002189, -105.102991)",489 N HWY 287 STE 110 LAFAYETTE CO USA,"40.002189, -105.102991","40.0021108,-105.1040148"
FA0001344,GOLDEN SUN,1635 28TH ST,1635,,28TH,ST,,BOULDER,CO,80301,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,9/6/2018,03E,Cold Hold at 41 Degrees or Less,15,Critical,Out,63,"1635 28TH ST
BOULDER, CO 80301
(40.015597, -105.258477)",1635 28TH ST BOULDER CO USA,"40.015597, -105.258477","40.0153921,-105.2592216"
FA0001169,SUBWAY,3070 28TH ST UNIT F,3070,,28TH,ST,F,BOULDER,CO,803011345,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,8/21/2019,FC15,Food separated and protected,10,Critical,In,35,"3070 28TH ST UNIT F
BOULDER, CO 803011345
(40.031035, -105.258424)",3070 28TH ST UNIT F BOULDER CO USA,"40.031035, -105.258424","40.0307571,-105.257608"
FA0001247,BLUE CORN TACOS,1515 N MAIN ST UNIT 6,1515,N,MAIN,ST,6,LONGMONT,CO,805012864,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,5/2/2014,03F,Food Thermometer,0,Critical,In,15,"1515 N MAIN ST UNIT 6
LONGMONT, CO 805012864
(40.185769, -105.102333)",1515 N MAIN ST UNIT 6 LONGMONT CO USA,"40.185769, -105.102333","40.1852151,-105.1030732"
FA0004603,NIWOT WHEEL WORKS,101 2ND AVE,101,,2ND,AVE,,NIWOT,CO,80544-1047,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,4/22/2016,07B,Pesticide Application,0,Critical,In,20,"101 2ND AVE
NIWOT, CO 80544-1047
(40.103499, -105.172734)",101 2ND AVE NIWOT CO USA,"40.103499, -105.172734","40.1032048,-105.17291"
FA0000018,DISH GOURMET,1918 PEARL ST STE 100,1918,,PEARL,ST,100,BOULDER,CO,803024428,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,8/21/2019,FC29,Compliance with variance / specialized process / HACCP,20,Critical,Not Applicable,5,"1918 PEARL ST STE 100
BOULDER, CO 803024428
(40.019899, -105.270213)",1918 PEARL ST STE 100 BOULDER CO USA,"40.019899, -105.270213","40.0197052,-105.2701856"
FA0002382,JEFES,246 MAIN ST,246,,MAIN,ST,,LONGMONT,CO,80501,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,7/30/2018,05D,Sewage Disposal,0,Critical,In,115,"246 MAIN ST
LONGMONT, CO 80501
(40.163628, -105.102518)",246 MAIN ST LONGMONT CO USA,"40.163628, -105.102518","40.1636193,-105.1021192"
FA0001306,LA CHOZA #2,4457 N BROADWAY ST,4457,N,BROADWAY,ST,,BOULDER,CO,80304,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,8/20/2019,FC10,Adequate handwashing sinks properly supplied and accessible,10,Critical,In,45,"4457 N BROADWAY ST
BOULDER, CO 80304
(40.055463, -105.282115)",4457 N BROADWAY ST BOULDER CO USA,"40.055463, -105.282115","40.055516,-105.2827313"
FA0000200,BOULDER DUSHANBE TEA HOUSE,1770 13TH ST,1770,,13TH,ST,,BOULDER,CO,80302,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/26/2019,FC08,Hands clean & properly washed,25,Critical,In,0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)",1770 13TH ST BOULDER CO USA,"40.015593, -105.277767","40.0154468,-105.2772448"
FA0000966,SNARFS,5340 ARAPAHOE AVE UNIT J,5340,,ARAPAHOE,AVE,J,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/18/2019,FC25,Consumer advisory provided for raw/undercooked food,5,Critical,Not Applicable,30,"5340 ARAPAHOE AVE UNIT J
BOULDER, CO 80303
(40.01461, -105.228345)",5340 ARAPAHOE AVE UNIT J BOULDER CO USA,"40.01461, -105.228345","40.0141309,-105.2284171"
FA0000027,ARAPAHOE MEAT CO,12420 ARAPAHOE RD,12420,,ARAPAHOE,RD,,LAFAYETTE,CO,800269400,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,ROUTINE INSPECTION,10/18/2019,FC53,"Toilet facilities: properly constructed, supplied, & cleaned",5,,Not Observed,20,"12420 ARAPAHOE RD
LAFAYETTE, CO 800269400
(40.014795, -105.061412)",12420 ARAPAHOE RD LAFAYETTE CO USA,"40.014795, -105.061412","40.014688,-105.06203"
FA0003002,CHOP 5 SALAD KTICHEN,2525 ARAPAHOE RD UNIT H6,2525,,ARAPAHOE,RD,H6,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,4/26/2016,03A,Cooling Methods,0,Critical,In,15,"2525 ARAPAHOE RD UNIT H6
BOULDER, CO 80302
(40.014691, -105.26231)",2525 ARAPAHOE RD UNIT H6 BOULDER CO USA,"40.014691, -105.26231","40.0149546,-105.2596866"
FA0001149,PINOCCHIOS,300 2ND AVE,300,,2ND,AVE,,NIWOT,CO,805445902,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,4/20/2016,06B,Accessible,0,Critical,In,55,"300 2ND AVE
NIWOT, CO 805445902
(40.1021, -105.1707)",300 2ND AVE NIWOT CO USA,"40.1021, -105.1707","40.10239809999999,-105.1706024"
FA0001299,KTS BBQ,7464 ARAPAHOE RD,7464,,ARAPAHOE,RD,,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/24/2019,FC02,Certified Food Protection Manager,10,Critical,,25,"7464 ARAPAHOE RD
BOULDER, CO 80303
(40.014567, -105.179181)",7464 ARAPAHOE RD BOULDER CO USA,"40.014567, -105.179181","40.0143988,-105.1792848"
FA0000057,AUNT ALICES KITCHEN,1805 N MAIN ST,1805,N,MAIN,ST,,LONGMONT,CO,805012037,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,10/24/2019,FC40,Personal cleanliness,10,,Not Observed,45,"1805 N MAIN ST
LONGMONT, CO 805012037
(40.191008, -105.10234)",1805 N MAIN ST LONGMONT CO USA,"40.191008, -105.10234","40.1910351,-105.1030099"
FA0000502,LUCILES CREOLE CAFE,518 KIMBARK ST,518,,KIMBARK,ST,,LONGMONT,CO,805015531,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/29/2019,FC42,Washing fruits & vegetables,15,,Not Observed,30,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)",518 KIMBARK ST LONGMONT CO USA,"40.168199, -105.10119","40.1682067,-105.1008403"
FA0004579,BABA & POPS (MOBILE PRE-PKG),9945 E COLFAX AVE,9945,E,COLFAX,AVE,,Aurora,CO,80010,MOBILE UNIT PREPACKAGED,PRE PACKAGED,ROUTINE INSPECTION,6/2/2018,01B,Wholesome Free of Spoilage,0,Critical,In,0,"9945 E COLFAX AVE
Aurora, CO 80010
(39.740201, -104.872383)",9945 E COLFAX AVE Aurora CO USA,"39.740201, -104.872383","39.7403183,-104.8723906"
FA0004505,SMOKIN BOWLS,449 MAIN ST,449,,MAIN,ST,,LONGMONT,CO,80503,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,1/23/2015,04C,In Place,0,Critical,Not Applicable,15,"449 MAIN ST
LONGMONT, CO 80503
(40.166729, -105.102509)",449 MAIN ST LONGMONT CO USA,"40.166729, -105.102509","40.1667218,-105.1028957"
FA0000287,BOULDER GS,2990 DIAGONAL HWY,2990,,DIAGONAL,HWY,,BOULDER,CO,803011412,GROCERY STORE 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,ROUTINE INSPECTION,6/20/2019,FC42,Washing fruits & vegetables,15,,Not Observed,0,"2990 DIAGONAL HWY
BOULDER, CO 803011412
(40.037781, -105.254229)",2990 DIAGONAL HWY BOULDER CO USA,"40.037781, -105.254229","40.0373005,-105.2541246"
FA0001319,(CU)  FARRAND ALLEY,2200 BARKER DR,2200,,BARKER,DR,,BOULDER,CO,80309,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,2/5/2015,05A,Safe Water Source,0,Critical,In,10,"2200 BARKER DR
BOULDER, CO 80309",2200 BARKER DR BOULDER CO USA,,"40.0060088,-105.2657756"
FA0004526,TOKYO JOES,15 E KEN PRATT BLVD,15,E,KEN PRATT,BLVD,,LONGMONT,CO,80501,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,9/17/2019,FC42,Washing fruits & vegetables,15,,Not Observed,35,"15 E KEN PRATT BLVD
LONGMONT, CO 80501",15 E KEN PRATT BLVD LONGMONT CO USA,,"40.1603592,-105.0549504"
FA0001273,SCRUMPTIOUS,508 MAIN ST,508,,MAIN,ST,,LONGMONT,CO,805015537,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,8/24/2017,06B,Accessible,0,Critical,In,25,"508 MAIN ST
LONGMONT, CO 805015537
(40.167824, -105.102507)",508 MAIN ST LONGMONT CO USA,"40.167824, -105.102507","40.1678203,-105.1023253"
FA0000346,LYONS DAIRY BAR,138 E MAIN ST UNIT 1,138,E,MAIN,ST,1,LYONS,CO,80540,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,6/29/2016,02G,No Bare Hand Contact,0,Critical,In,15,"138 E MAIN ST UNIT 1
LYONS, CO 80540",138 E MAIN ST UNIT 1 LYONS CO USA,,"40.22239560000001,-105.2645581"
FA0000665,JAVA STOP,301 MAIN ST,301,,MAIN,ST,,LONGMONT,CO,805015550,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,4/30/2014,09A,Original Container Properly Labeled,0,Non-Critical,Not Observed,0,"301 MAIN ST
LONGMONT, CO 805015550
(40.164221, -105.102516)",301 MAIN ST LONGMONT CO USA,"40.164221, -105.102516","40.1641823,-105.1027359"
FA0002421,EGGLOO DELIGHTS (SPECIAL EVENT),1515 MAIN ST,1515,,MAIN,ST,,LONGMONT,CO,80501,SPECIAL EVENT,SPECIAL EVENT,ROUTINE INSPECTION,5/13/2017,08A,Properly Stored,0,Critical,In,0,"1515 MAIN ST
LONGMONT, CO 80501
(40.185769, -105.102333)",1515 MAIN ST LONGMONT CO USA,"40.185769, -105.102333","40.18535079999999,-105.103147"
FA0000731,COSMOS PIZZA,659 3OTH ST,659,,3OTH,ST,,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/7/2019,FC07,"No discharge from eyes, nose, and mouth",5,Critical,In,20,"659 3OTH ST
BOULDER, CO 80303",659 3OTH ST BOULDER CO USA,,"39.9988213,-105.2537345"
FA0002869,PANDA EXPRESS #1635,2100 28TH ST UNIT 1-A,2100,,28TH,ST,1-A,BOULDER,CO,80301,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,6/4/2014,02F,Training Needed,0,Critical,In,0,"2100 28TH ST UNIT 1-A
BOULDER, CO 80301
(40.023577, -105.258313)",2100 28TH ST UNIT 1-A BOULDER CO USA,"40.023577, -105.258313","40.02392589999999,-105.2574575"
FA0000476,LUCILES CREOLE CAFE,2124 14TH ST,2124,,14TH,ST,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,4/1/2015,08C,Properly Used,0,Critical,In,30,"2124 14TH ST
BOULDER, CO 80302
(40.020019, -105.277922)",2124 14TH ST BOULDER CO USA,"40.020019, -105.277922","40.0200908,-105.2776533"
FA0003850,GOAT AT THE GARAGE THE,2907 55TH ST,2907,,55TH,ST,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,4/6/2016,14D,Lighting,0,Non-Critical,Not Observed,20,"2907 55TH ST
BOULDER, CO 80302
(40.028116, -105.225354)",2907 55TH ST BOULDER CO USA,"40.028116, -105.225354","40.027848,-105.2267007"
FA0000666,JAX FISH HOUSE,928 PEARL ST,928,,PEARL,ST,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,12/14/2018,03A,Cooling Methods,0,Critical,In,15,"928 PEARL ST
BOULDER, CO 80302
(40.017202, -105.283305)",928 PEARL ST BOULDER CO USA,"40.017202, -105.283305","40.0170094,-105.2831766"
FA0002979,LA PUPUSA LOCA (MOBILE),637 S BROADWAY ST UNIT G1,637,S,BROADWAY,ST,G1,Boulder,CO,80305,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,10/21/2019,FC48,"Warewashing facilities: installed, maintained, & used; test strips",5,,Not Observed,25,"637 S BROADWAY ST UNIT G1
Boulder, CO 80305
(39.984339, -105.248924)",637 S BROADWAY ST UNIT G1 Boulder CO USA,"39.984339, -105.248924","39.7050752,-104.9875752"
FA0004967,LA FAMILIA (MOBILE),4920 PEARL ST UNIT C/D,4920,,PEARL,ST,C/D,Boulder,CO,80301,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,10/15/2019,FC32,Variance obtained for specialized processing methods,5,,Not Observed,15,"4920 PEARL ST UNIT C/D
Boulder, CO 80301
(40.025673, -105.238076)",4920 PEARL ST UNIT C/D Boulder CO USA,"40.025673, -105.238076","40.025388,-105.2377392"
FA0001266,FRASIER MEADOWS MANOR KITCHEN,350 PONCA PL,350,,PONCA,PL,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,RESIDENTIAL FACILITIES,ROUTINE INSPECTION,11/3/2016,02D,Hygienic Practices,0,Critical,In,20,"350 PONCA PL
BOULDER, CO 80302
(39.994156, -105.235084)",350 PONCA PL BOULDER CO USA,"39.994156, -105.235084","39.99422,-105.2341427"
FA0003410,LUCKY PIE PIZZA,637 FRONT ST,637,,FRONT,ST,,LOUISVILLE,CO,80027,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/27/2019,FC25,Consumer advisory provided for raw/undercooked food,5,Critical,In,0,"637 FRONT ST
LOUISVILLE, CO 80027
(39.976525, -105.130783)",637 FRONT ST LOUISVILLE CO USA,"39.976525, -105.130783","39.9765788,-105.1311641"
FA0000442,HOMEWOOD SUITES BOULDER,4950 BASELINE RD,4950,,BASELINE,RD,,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,9/25/2013,07A,Evidence of Insects or Rodents,0,Critical,In,35,"4950 BASELINE RD
BOULDER, CO 80303
(40.000015, -105.232703)",4950 BASELINE RD BOULDER CO USA,"40.000015, -105.232703","39.9973834,-105.2326884"
FA0005285,GREAT OUTDOORS WATER PARK THE,500 S BOULDER RD,500,S,BOULDER,RD,,Lafayette,CO,80026,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,REGULAR INSPECTION (30 DAYS),6/27/2018,14B,Garbage and Refuse,0,Non-Critical,In,20,"500 S BOULDER RD
Lafayette, CO 80026
(39.986785, -105.082785)",500 S BOULDER RD Lafayette CO USA,"39.986785, -105.082785","39.9863975,-105.0846261"
FA0000521,MEEKER PARK LODGE,11733 COLO  7 HWY,11733,,COLO  7,HWY,,ALLENSPARK,CO,805100000,GROCERY STORE 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,ROUTINE INSPECTION,8/29/2019,FC51,Plumbing installed; proper backflow devices,10,,Not Observed,0,"11733 COLO 7 HWY
ALLENSPARK, CO 805100000",11733 COLO  7 HWY ALLENSPARK CO USA,,"40.2356189,-105.5297838"
FA0000654,CASA ALEGRE,1006 PINE ST,1006,,PINE,ST,,LOUISVILLE,CO,800271840,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/27/2019,FC15,Food separated and protected,10,Critical,,15,"1006 PINE ST
LOUISVILLE, CO 800271840
(39.976845, -105.130373)",1006 PINE ST LOUISVILLE CO USA,"39.976845, -105.130373","39.9767355,-105.1303268"
FA0004972,COMMUNITY CUPBOARD FOOD BANK,14863 W HWY 7,14863,W,HWY 7,,,ALLENSPARK,CO,80510,NO FEE LICENSE K12 SCHOOLS NON PROFIT,FOOD BANK,ROUTINE INSPECTION,8/29/2019,FC52,Sewage & waste water properly disposed,20,,Not Observed,0,"14863 W HWY 7
ALLENSPARK, CO 80510
(40.196204, -105.527436)",14863 W HWY 7 ALLENSPARK CO USA,"40.196204, -105.527436","40.19648660000001,-105.5271916"
FA0001261,ROCK CREEK TAVERN & PIZZERIA,6 SKI RD,6,,SKI,RD,,ALLENSPARK,CO,80510,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,8/29/2019,FC02,Certified Food Protection Manager,10,Critical,In,0,"6 SKI RD
ALLENSPARK, CO 80510
(40.194528, -105.525328)",6 SKI RD ALLENSPARK CO USA,"40.194528, -105.525328","40.1946126,-105.5256342"
FA0004497,CHINA GOURMET - LONGMONT,1345 DRY CREEK DR,1345,,DRY CREEK,DR,,LONGMONT,CO,80503,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,REGULAR INSPECTION (30 DAYS),11/19/2013,05D,Sewage Disposal,0,Critical,Not Observed,17,"1345 DRY CREEK DR
LONGMONT, CO 80503
(40.142685, -105.133979)",1345 DRY CREEK DR LONGMONT CO USA,"40.142685, -105.133979","40.1424332,-105.1345298"
FA0001251,BLACK CAT,1964 13TH ST,1964,,13TH,ST,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/12/2014,06B,Accessible,0,Critical,In,10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)",1964 13TH ST BOULDER CO USA,"40.017825, -105.278567","40.0178929,-105.2784009"
