"facility_id","inspection_date","violation_category","lower"
"FA0000024","2019-07-22","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000024","2019-07-22","food source","proper date marking and disposition"
"FA0000024","2019-07-22","personnel","certified food protection manager"
"FA0000024","2019-10-11","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000024","2019-10-11","food labeling/protection","food separated and protected"
"FA0000024","2019-10-11","personnel","certified food protection manager"
"FA0000025","2013-06-27","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000025","2013-06-27","personnel","hygienic practices"
"FA0000025","2013-06-27","food temperature control","cold hold at 41 degrees or less"
"FA0000025","2013-06-27","poisons/toxins","properly stored"
"FA0000025","2016-01-29","personnel","hands washed as needed"
"FA0000025","2016-01-29","water/sewage/plumbing","backflow back siphonage"
"FA0000025","2017-07-17","personnel","smoking eating drinking"
"FA0000025","2017-07-17","food temperature control","cold hold at 41 degrees or less"
"FA0000025","2019-02-14","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000025","2019-02-14","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000025","2019-02-14","personnel","certified food protection manager"
"FA0000026","2014-01-07","water/sewage/plumbing","hot and cold water under pressure"
"FA0000026","2014-01-07","poisons/toxins","properly labeled"
"FA0000026","2014-01-07","utensils","equipment utensils provided used, stored"
"FA0000026","2014-01-07","food labeling/protection","original container properly labeled"
"FA0000026","2018-04-18","food temperature control","food thermometer"
"FA0000026","2018-04-18","personnel","smoking eating drinking"
"FA0000026","2018-04-18","equipment/utensil cleaning","manual"
"FA0000026","2018-04-18","toilets/handwashing","soap and drying devices"
"FA0000026","2018-04-18","poisons/toxins","properly labeled"
"FA0000030","2014-02-26","physical facilities","locker rooms"
"FA0000030","2014-02-26","personnel","hands washed as needed"
"FA0000030","2014-02-26","equipment design/contstruction","food-contact surfaces construction"
"FA0000030","2014-02-26","water/sewage/plumbing","plumbing installed maintained"
"FA0000030","2016-11-22","poisons/toxins","properly stored"
"FA0000030","2018-10-11","toilets/handwashing","soap and drying devices"
"FA0000031","2013-09-20","toilets/handwashing","soap and drying devices"
"FA0000031","2015-09-21","water/sewage/plumbing","plumbing installed maintained"
"FA0000031","2017-03-15","personnel","hands washed as needed"
"FA0000033","2015-02-10","water/sewage/plumbing","hot and cold water under pressure"
"FA0000033","2015-02-10","water/sewage/plumbing","backflow back siphonage"
"FA0000033","2015-02-10","food temperature control","cold hold at 41 degrees or less"
"FA0000033","2015-02-10","food temperature control","adequate equipment to maintain food temperatures"
"FA0000033","2016-06-01","utensils","equipment utensils provided used, stored"
"FA0000033","2016-06-01","food source","cross contamination"
"FA0000033","2016-06-01","equipment/utensil cleaning","wiping cloths"
"FA0000033","2016-06-01","water/sewage/plumbing","backflow back siphonage"
"FA0000033","2018-10-17","food temperature control","cold hold at 41 degrees or less"
"FA0000038","2013-09-20","food temperature control","cold hold at 41 degrees or less"
"FA0000038","2013-09-20","food temperature control","cooling methods"
"FA0000038","2013-09-20","personnel","smoking eating drinking"
"FA0000038","2013-09-20","food temperature control","adequate equipment to maintain food temperatures"
"FA0000038","2015-02-02","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000038","2015-02-02","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000038","2015-02-02","personnel","smoking eating drinking"
"FA0000038","2015-02-02","utensils","single service articles stored dispensed used"
"FA0000038","2015-02-02","physical facilities","premises maintained"
"FA0000038","2015-02-02","water/sewage/plumbing","backflow back siphonage"
"FA0000038","2015-02-02","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000038","2015-02-02","equipment/utensil cleaning","dishwashing facilities"
"FA0000038","2015-02-02","food labeling/protection","food protected from contamination"
"FA0000038","2015-02-02","physical facilities","lighting"
"FA0000038","2015-02-02","poisons/toxins","properly labeled"
"FA0000038","2015-02-02","physical facilities","floors walls ceilings"
"FA0000038","2016-02-25","food labeling/protection","food protected from contamination"
"FA0000038","2016-02-25","physical facilities","garbage and refuse"
"FA0000038","2016-02-25","equipment design/contstruction","food-contact surfaces construction"
"FA0000038","2016-02-25","personnel","smoking eating drinking"
"FA0000038","2016-02-25","toilets/handwashing","soap and drying devices"
"FA0000038","2016-02-25","food temperature control","cold hold at 41 degrees or less"
"FA0000038","2016-02-25","physical facilities","locker rooms"
"FA0000056","2017-08-08","food source","consumer advisory"
"FA0000056","2017-08-08","toilets/handwashing","soap and drying devices"
"FA0000057","2013-11-05","utensils","equipment utensils provided used, stored"
"FA0000057","2013-11-05","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000057","2013-11-05","food temperature control","cold hold at 41 degrees or less"
"FA0000057","2013-11-05","water/sewage/plumbing","plumbing installed maintained"
"FA0000057","2016-04-07","poisons/toxins","properly labeled"
"FA0000057","2016-04-07","food temperature control","cold hold at 41 degrees or less"
"FA0000057","2019-10-24","food temperature control","proper cold holding temperatures"
"FA0000057","2019-10-24","food labeling/protection","food separated and protected"
"FA0000057","2019-10-24","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000057","2019-10-24","personnel","certified food protection manager"
"FA0000057","2019-10-24","food source","proper date marking and disposition"
"FA0000061","2014-05-28","water/sewage/plumbing","backflow back siphonage"
"FA0000061","2015-06-23","equipment/utensil cleaning","manual"
"FA0000061","2015-06-23","toilets/handwashing","soap and drying devices"
"FA0000061","2015-06-23","water/sewage/plumbing","backflow back siphonage"
"FA0000061","2015-06-23","personnel","hygienic practices"
"FA0000061","2017-03-02","water/sewage/plumbing","backflow back siphonage"
"FA0000063","2014-07-25","personnel","hands washed as needed"
"FA0000063","2014-07-25","equipment/utensil cleaning","mechanical"
"FA0000063","2017-06-20","food source","approved source"
"FA0000063","2017-06-20","food source","haccp plan"
"FA0000063","2017-06-20","poisons/toxins","properly labeled"
"FA0000064","2015-03-09","food labeling/protection","original container properly labeled"
"FA0000064","2015-03-09","poisons/toxins","properly labeled"
"FA0000064","2015-03-09","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000064","2015-03-09","personnel","smoking eating drinking"
"FA0000064","2017-07-31","food source","wholesome free of spoilage"
"FA0000064","2017-07-31","poisons/toxins","properly labeled"
"FA0000064","2017-07-31","food temperature control","adequate equipment to maintain food temperatures"
"FA0000064","2017-07-31","personnel","hygienic practices"
"FA0000064","2019-11-08","poisons/toxins","toxic substances properly identified, stored & used"
"FA0000064","2019-11-08","food temperature control","proper cold holding temperatures"
"FA0000064","2019-11-08","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000067","2014-03-10","equipment/utensil cleaning","dishwashing operations"
"FA0000067","2014-03-10","food labeling/protection","food protected from contamination"
"FA0000067","2014-03-10","food source","wholesome free of spoilage"
"FA0000067","2014-03-10","equipment design/contstruction","food-contact surfaces construction"
"FA0000067","2014-03-10","utensils","equipment utensils provided used, stored"
"FA0000067","2014-03-10","food temperature control","cooling methods"
"FA0000067","2014-03-10","personnel","hygienic practices"
"FA0000067","2016-05-20","personnel","hands washed as needed"
"FA0000067","2016-05-20","personnel","smoking eating drinking"
"FA0000067","2016-05-20","food temperature control","cold hold at 41 degrees or less"
"FA0000067","2016-05-20","personnel","hygienic practices"
"FA0000067","2016-05-20","equipment/utensil cleaning","mechanical"
"FA0000067","2017-07-18","food temperature control","cold hold at 41 degrees or less"
"FA0000067","2017-07-18","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000067","2017-07-18","personnel","smoking eating drinking"
"FA0000075","2014-02-14","physical facilities","premises maintained"
"FA0000075","2014-02-14","toilets/handwashing","adequate number location design"
"FA0000075","2014-02-14","food temperature control","cold hold at 41 degrees or less"
"FA0000075","2017-04-05","food temperature control","cold hold at 41 degrees or less"
"FA0000079","2015-08-13","personnel","training needed"
"FA0000079","2015-08-13","food source","consumer advisory"
"FA0000079","2015-08-13","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000079","2015-08-13","water/sewage/plumbing","hot and cold water under pressure"
"FA0000079","2015-08-13","food temperature control","food thermometer"
"FA0000079","2015-08-13","food labeling/protection","original container properly labeled"
"FA0000079","2015-08-13","personnel","hygienic practices"
"FA0000079","2017-09-26","personnel","no bare hand contact"
"FA0000079","2017-09-26","personnel","smoking eating drinking"
"FA0000079","2017-09-26","food temperature control","cold hold at 41 degrees or less"
"FA0000079","2017-09-26","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000079","2017-09-26","food source","cross contamination"
"FA0000084","2018-02-07","food source","approved source"
"FA0000084","2018-02-07","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000084","2018-02-07","food labeling/protection","original container properly labeled"
"FA0000084","2018-02-07","water/sewage/plumbing","hot and cold water under pressure"
"FA0000086","2014-04-18","food source","consumer advisory"
"FA0000086","2014-04-18","personnel","smoking eating drinking"
"FA0000086","2014-04-18","toilets/handwashing","soap and drying devices"
"FA0000086","2014-04-18","water/sewage/plumbing","hot and cold water under pressure"
"FA0000086","2014-04-18","food source","wholesome free of spoilage"
"FA0000086","2016-10-24","water/sewage/plumbing","plumbing installed maintained"
"FA0000086","2016-10-24","water/sewage/plumbing","hot and cold water under pressure"
"FA0000086","2016-10-24","food source","cross contamination"
"FA0000086","2016-10-24","toilets/handwashing","soap and drying devices"
"FA0000086","2016-10-24","food labeling/protection","food protected from contamination"
"FA0000086","2018-11-08","toilets/handwashing","soap and drying devices"
"FA0000086","2018-11-08","food source","cross contamination"
"FA0000086","2018-11-08","poisons/toxins","properly labeled"
"FA0000088","2013-08-23","food temperature control","adequate equipment to maintain food temperatures"
"FA0000088","2013-08-23","physical facilities","floors walls ceilings"
"FA0000088","2013-08-23","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000088","2013-08-23","equipment/utensil cleaning","dishwashing operations"
"FA0000088","2013-08-23","food temperature control","cold hold at 41 degrees or less"
"FA0000088","2013-08-23","poisons/toxins","properly labeled"
"FA0000088","2013-08-23","food labeling/protection","food protected from contamination"
"FA0000088","2013-08-23","equipment/utensil cleaning","wiping cloths"
"FA0000088","2013-08-23","equipment/utensil cleaning","mechanical"
"FA0000088","2013-08-23","pest control","pesticide application"
"FA0000088","2013-08-23","equipment design/contstruction","food-contact surfaces construction"
"FA0000088","2013-08-23","physical facilities","premises maintained"
"FA0000088","2013-08-23","toilets/handwashing","adequate number location design"
"FA0000088","2013-08-23","food source","wholesome free of spoilage"
"FA0000088","2016-04-20","toilets/handwashing","soap and drying devices"
"FA0000088","2016-04-20","water/sewage/plumbing","hot and cold water under pressure"
"FA0000089","2014-03-20","physical facilities","lighting"
"FA0000089","2014-03-20","physical facilities","premises maintained"
"FA0000089","2014-03-20","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000089","2014-03-20","personnel","hygienic practices"
"FA0000089","2014-03-20","food source","wholesome free of spoilage"
"FA0000089","2014-03-20","water/sewage/plumbing","plumbing installed maintained"
"FA0000089","2014-03-20","food source","cross contamination"
"FA0000089","2014-03-20","water/sewage/plumbing","hot and cold water under pressure"
"FA0000089","2014-03-20","water/sewage/plumbing","backflow back siphonage"
"FA0000089","2014-03-20","toilets/handwashing","soap and drying devices"
"FA0000089","2014-03-20","physical facilities","floors walls ceilings"
"FA0000089","2014-03-20","physical facilities","garbage and refuse"
"FA0000089","2014-03-20","food labeling/protection","food protected from contamination"
"FA0000089","2015-07-30","poisons/toxins","properly stored"
"FA0000089","2015-07-30","utensils","equipment utensils provided used, stored"
"FA0000089","2015-07-30","food labeling/protection","original container properly labeled"
"FA0000089","2016-11-28","utensils","equipment utensils provided used, stored"
"FA0000089","2016-11-28","physical facilities","floors walls ceilings"
"FA0000089","2019-05-16","food temperature control","time as a public health control; procedures & records"
"FA0000089","2019-05-16","pest control","contamination prevented during food preparation, storage & display"
"FA0000089","2019-05-16","physical facilities","physical facilities installed, maintained, & clean"
"FA0000089","2019-05-16","equipment/utensil cleaning","food contact surfaces; cleaned & sanitized"
"FA0000089","2019-05-16","food source","contamination prevented during food preparation, storage & display"
"FA0000089","2019-05-16","personnel","certified food protection manager"
"FA0000092","2014-04-04","personnel","no bare hand contact"
"FA0000092","2014-04-04","water/sewage/plumbing","hot and cold water under pressure"
"FA0000092","2014-04-04","food temperature control","cold hold at 41 degrees or less"
"FA0000092","2016-09-06","food source","consumer advisory"
"FA0000092","2016-09-06","food source","approved source"
"FA0000092","2016-09-06","poisons/toxins","properly labeled"
"FA0000092","2018-10-09","food source","approved source"
"FA0000092","2018-10-09","food temperature control","cold hold at 41 degrees or less"
"FA0000093","2015-07-16","toilets/handwashing","soap and drying devices"
"FA0000093","2015-07-16","food temperature control","cold hold at 41 degrees or less"
"FA0000093","2015-07-16","food labeling/protection","food protected from contamination"
"FA0000093","2017-05-11","physical facilities","floors walls ceilings"
"FA0000093","2017-05-11","personnel","no bare hand contact"
"FA0000093","2017-05-11","food labeling/protection","original container properly labeled"
"FA0000093","2017-05-11","utensils","equipment utensils provided used, stored"
"FA0000093","2017-05-11","water/sewage/plumbing","hot and cold water under pressure"
"FA0000093","2017-05-11","food source","consumer advisory"
"FA0000093","2017-05-11","personnel","hygienic practices"
"FA0000093","2017-05-11","personnel","hands washed as needed"
"FA0000093","2017-05-11","equipment/utensil cleaning","mechanical"
"FA0000095","2016-04-14","toilets/handwashing","soap and drying devices"
"FA0000095","2016-04-14","personnel","hands washed as needed"
"FA0000095","2016-04-14","food source","consumer advisory"
"FA0000095","2016-04-14","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000098","2014-07-11","food temperature control","cold hold at 41 degrees or less"
"FA0000098","2014-07-11","food temperature control","food thermometer"
"FA0000098","2014-07-11","food temperature control","adequate equipment to maintain food temperatures"
"FA0000098","2016-05-19","personnel","smoking eating drinking"
"FA0000098","2016-05-19","food source","wholesome free of spoilage"
"FA0000098","2016-05-19","pest control","evidence of insects or rodents"
"FA0000098","2016-05-19","toilets/handwashing","accessible"
"FA0000098","2017-04-11","personnel","training needed"
"FA0000098","2017-04-11","equipment/utensil cleaning","dishwashing operations"
"FA0000098","2017-04-11","physical facilities","floors walls ceilings"
"FA0000098","2017-04-11","food labeling/protection","original container properly labeled"
"FA0000098","2017-04-11","personnel","smoking eating drinking"
"FA0000098","2017-04-11","food temperature control","cold hold at 41 degrees or less"
"FA0000100","2014-05-16","personnel","smoking eating drinking"
"FA0000100","2014-05-16","poisons/toxins","properly stored"
"FA0000100","2016-08-01","personnel","hygienic practices"
"FA0000100","2016-08-01","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000100","2016-08-01","physical facilities","floors walls ceilings"
"FA0000100","2016-08-01","food temperature control","refrigeration units with accurate thermometers"
"FA0000100","2016-08-01","water/sewage/plumbing","plumbing installed maintained"
"FA0000100","2016-08-01","food source","cross contamination"
"FA0000100","2016-08-01","equipment design/contstruction","food-contact surfaces construction"
"FA0000100","2016-08-01","poisons/toxins","properly labeled"
"FA0000100","2019-10-29","poisons/toxins","toxic substances properly identified, stored & used"
"FA0000100","2019-10-29","food temperature control","proper cold holding temperatures"
"FA0000100","2019-10-29","personnel","certified food protection manager"
"FA0000100","2019-10-29","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000105","2014-06-02","food temperature control","cold hold at 41 degrees or less"
"FA0000105","2016-06-14","poisons/toxins","properly labeled"
"FA0000105","2016-06-14","pest control","evidence of insects or rodents"
"FA0000105","2019-06-10","food temperature control","proper cold holding temperatures"
"FA0000105","2019-06-10","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000105","2019-06-10","personnel","certified food protection manager"
"FA0000105","2019-06-10","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000105","2019-06-10","personnel","hands clean & properly washed"
"FA0000106","2013-10-28","food labeling/protection","food protected from contamination"
"FA0000106","2013-10-28","food source","wholesome free of spoilage"
"FA0000106","2013-10-28","personnel","training needed"
"FA0000106","2013-10-28","equipment design/contstruction","non-food contact surfaces construction"
"FA0000106","2018-03-07","poisons/toxins","properly stored"
"FA0000106","2018-03-07","water/sewage/plumbing","backflow back siphonage"
"FA0000106","2018-03-07","poisons/toxins","properly labeled"
"FA0000108","2013-11-13","equipment design/contstruction","non-food contact surfaces construction"
"FA0000108","2013-11-13","personnel","hands washed as needed"
"FA0000108","2013-11-13","water/sewage/plumbing","backflow back siphonage"
"FA0000108","2014-10-06","personnel","smoking eating drinking"
"FA0000108","2014-10-06","pest control","evidence of insects or rodents"
"FA0000108","2017-10-12","food labeling/protection","food protected from contamination"
"FA0000108","2018-09-06","personnel","smoking eating drinking"
"FA0000108","2018-09-06","personnel","hygienic practices"
"FA0000109","2013-02-07","personnel","hands washed as needed"
"FA0000109","2013-02-07","toilets/handwashing","accessible"
"FA0000109","2013-02-07","water/sewage/plumbing","backflow back siphonage"
"FA0000109","2018-02-08","water/sewage/plumbing","backflow back siphonage"
"FA0000109","2018-02-08","toilets/handwashing","soap and drying devices"
"FA0000109","2019-05-28","food temperature control","proper cooking time & temperatures"
"FA0000110","2014-04-16","water/sewage/plumbing","backflow back siphonage"
"FA0000110","2014-04-16","physical facilities","floors walls ceilings"
"FA0000110","2016-12-23","personnel","smoking eating drinking"
"FA0000110","2016-12-23","water/sewage/plumbing","backflow back siphonage"
"FA0000110","2019-07-03","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000112","2016-06-27","personnel","hygienic practices"
"FA0000113","2013-07-25","water/sewage/plumbing","backflow back siphonage"
"FA0000113","2013-07-25","equipment design/contstruction","non-food contact surfaces construction"
"FA0000113","2013-07-25","water/sewage/plumbing","plumbing installed maintained"
"FA0000113","2013-07-25","pest control","evidence of insects or rodents"
"FA0000113","2013-07-25","food labeling/protection","food protected from contamination"
"FA0000113","2014-12-15","physical facilities","premises maintained"
"FA0000113","2014-12-15","toilets/handwashing","soap and drying devices"
"FA0000113","2016-06-29","poisons/toxins","properly labeled"
"FA0000113","2018-03-06","food temperature control","cold hold at 41 degrees or less"
"FA0000113","2018-03-06","personnel","hands washed as needed"
"FA0000115","2014-03-24","toilets/handwashing","accessible"
"FA0000123","2014-07-10","food temperature control","food thermometer"
"FA0000123","2017-08-18","pest control","evidence of insects or rodents"
"FA0000123","2017-08-18","food source","cross contamination"
"FA0000123","2017-08-18","equipment/utensil cleaning","mechanical"
"FA0000123","2017-08-18","personnel","smoking eating drinking"
"FA0000124","2015-03-09","personnel","smoking eating drinking"
"FA0000124","2015-03-09","personnel","hands washed as needed"
"FA0000124","2015-03-09","food temperature control","cold hold at 41 degrees or less"
"FA0000124","2015-03-09","food temperature control","adequate equipment to maintain food temperatures"
"FA0000124","2015-03-09","personnel","training needed"
"FA0000124","2015-03-09","personnel","wounds properly covered"
"FA0000124","2015-03-09","food labeling/protection","food protected from contamination"
"FA0000124","2015-03-09","personnel","no bare hand contact"
"FA0000124","2016-01-21","poisons/toxins","properly labeled"
"FA0000124","2016-01-21","utensils","no reuse of single service articles"
"FA0000124","2017-07-13","personnel","hands washed as needed"
"FA0000124","2017-07-13","pest control","animals prohibited"
"FA0000124","2017-07-13","poisons/toxins","properly labeled"
"FA0000127","2015-09-01","water/sewage/plumbing","hot and cold water under pressure"
"FA0000127","2015-09-01","food labeling/protection","food protected from contamination"
"FA0000127","2015-09-01","pest control","evidence of insects or rodents"
"FA0000127","2016-11-10","toilets/handwashing","soap and drying devices"
"FA0000130","2014-06-17","food temperature control","cold hold at 41 degrees or less"
"FA0000130","2014-06-17","poisons/toxins","properly labeled"
"FA0000130","2014-06-17","water/sewage/plumbing","hot and cold water under pressure"
"FA0000130","2016-10-25","food source","cross contamination"
"FA0000132","2013-07-25","water/sewage/plumbing","plumbing installed maintained"
"FA0000132","2013-07-25","food labeling/protection","original container properly labeled"
"FA0000132","2013-07-25","personnel","hygienic practices"
"FA0000132","2013-07-25","water/sewage/plumbing","backflow back siphonage"
"FA0000132","2013-07-25","utensils","equipment utensils provided used, stored"
"FA0000132","2013-07-25","water/sewage/plumbing","sewage disposal"
"FA0000132","2013-07-25","equipment design/contstruction","food-contact surfaces construction"
"FA0000132","2013-07-25","personnel","training needed"
"FA0000132","2013-07-25","poisons/toxins","properly stored"
"FA0000132","2015-05-04","food source","consumer advisory"
"FA0000132","2015-05-04","personnel","hygienic practices"
"FA0000132","2017-08-18","toilets/handwashing","soap and drying devices"
"FA0000132","2017-08-18","poisons/toxins","properly stored"
"FA0000132","2017-08-18","food temperature control","cold hold at 41 degrees or less"
"FA0000133","2014-07-29","food temperature control","cold hold at 41 degrees or less"
"FA0000133","2014-07-29","food temperature control","adequate equipment to maintain food temperatures"
"FA0000133","2017-04-12","water/sewage/plumbing","hot and cold water under pressure"
"FA0000133","2017-04-12","food labeling/protection","food protected from contamination"
"FA0000133","2017-04-12","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000135","2014-03-13","personnel","training needed"
"FA0000135","2014-03-13","food source","consumer advisory"
"FA0000135","2017-03-10","food source","consumer advisory"
"FA0000135","2017-03-10","food source","approved source"
"FA0000135","2019-11-12","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000135","2019-11-12","food source","proper date marking and disposition"
"FA0000135","2019-11-12","poisons/toxins","toxic substances properly identified, stored & used"
"FA0000135","2019-11-12","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000139","2015-07-06","food labeling/protection","original container properly labeled"
"FA0000139","2015-07-06","personnel","hygienic practices"
"FA0000139","2015-07-06","physical facilities","premises maintained"
"FA0000139","2015-07-06","physical facilities","floors walls ceilings"
"FA0000139","2015-07-06","personnel","smoking eating drinking"
"FA0000139","2015-07-06","equipment design/contstruction","non-food contact surfaces construction"
"FA0000139","2015-07-06","water/sewage/plumbing","plumbing installed maintained"
"FA0000139","2015-07-06","food labeling/protection","food protected from contamination"
"FA0000139","2015-07-06","food temperature control","cold hold at 41 degrees or less"
"FA0000139","2015-07-06","toilets/handwashing","soap and drying devices"
"FA0000139","2015-07-06","physical facilities","lighting"
"FA0000139","2017-05-18","physical facilities","floors walls ceilings"
"FA0000139","2017-05-18","utensils","equipment utensils provided used, stored"
"FA0000139","2017-05-18","personnel","hands washed as needed"
"FA0000139","2017-05-18","personnel","smoking eating drinking"
"FA0000140","2014-04-03","food labeling/protection","food protected from contamination"
"FA0000140","2014-04-03","food labeling/protection","original container properly labeled"
"FA0000140","2014-04-03","physical facilities","premises maintained"
"FA0000140","2014-04-03","food temperature control","adequate equipment to maintain food temperatures"
"FA0000140","2014-04-03","physical facilities","floors walls ceilings"
"FA0000140","2014-04-03","food temperature control","cold hold at 41 degrees or less"
"FA0000140","2014-04-03","equipment design/contstruction","non-food contact surfaces construction"
"FA0000140","2014-04-03","poisons/toxins","properly stored"
"FA0000140","2014-04-03","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000140","2014-04-03","equipment design/contstruction","food-contact surfaces construction"
"FA0000140","2014-04-03","physical facilities","lighting"
"FA0000140","2014-04-03","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000140","2014-04-03","personnel","hands washed as needed"
"FA0000140","2014-04-03","food source","consumer advisory"
"FA0000140","2014-04-03","water/sewage/plumbing","plumbing installed maintained"
"FA0000140","2014-04-03","utensils","no reuse of single service articles"
"FA0000140","2014-04-03","food source","wholesome free of spoilage"
"FA0000140","2017-09-15","personnel","no bare hand contact"
"FA0000140","2017-09-15","food temperature control","cold hold at 41 degrees or less"
"FA0000140","2017-09-15","personnel","smoking eating drinking"
"FA0000140","2017-09-15","food labeling/protection","food protected from contamination"
"FA0000140","2017-09-15","food source","consumer advisory"
