facilityId,facilityName,concat_address,typeOfFacility,categoryOfFacility,origin_lat,origin_long,google_lat,google_long
FA0002826,FIOR DI GELATO,1021 PEARL ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.01748, -105.281997,40.01776539999999,-105.2821346
FA0001017,TUNE UP AT FULL CYCLE,2355 30TH ST BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.024471, -105.253682,40.0246411,-105.2541237
FA0005191,CHEBA HUT LONGMONT,635 MAIN ST LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.170314, -105.102503,40.1702439,-105.1030099
FA0002145,PIZZA 314,1313 COLLEGE AVE BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.007302, -105.27587,40.0074249,-105.2757893
FA0001269,IHOP 2071,401 CENTER DR SUPERIOR CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.957698, -105.17076,39.9578334,-105.1705349
FA0002830,CHICKEN JACKS,26 KEN PRATT BLVD LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.152527, -105.09409,40.1530524,-105.0942631
FA0005236,HAMPTON INN & SUITES,317 EXEMPLA CIR Lafayette CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.972355, -105.087143,39.9728325,-105.0871152
FA0005534,MAINE EVENT THE (MOBILE),338 MAIN ST Longmont CO USA,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,40.164731, -105.102515,40.164739,-105.1023022
FA0002478,SPRINGHILL SUITES BOULDER LONGMONT,1470 DRY CREEK DR LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.139402, -105.133764,40.13909659999999,-105.1331593
FA0003605,MCCASLIN THAI,316 S MCCASLIN BLVD LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.965861, -105.163315,39.96546230000001,-105.1614907
FA0001432,ORANGE TENT THE (SPECIAL EVENT),5575 55TH ST Boulder CO USA,SPECIAL EVENT,SPECIAL EVENT,,,39.9924359,-105.2200076
FA0000056,MOJO TAQUERIA,216 E MAIN ST LYONS CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,,,40.22345670000001,-105.2656871
FA0005066,FAIRWAYS GOLF,1 SUPERIOR DR SUPERIOR CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,39.952182, -105.15962,39.9527344,-105.158882
FA0003326,"PRICKLY PEAR TAVERN, THE",160 E MAIN ST LYONS CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,,,40.2229118,-105.2651252
FA0002436,FIVE GUYS BURGERS,1708 N MAIN ST UNIT 300 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.189226, -105.102329,40.1891957,-105.101722
FA0004744,DIZZY FAMILY FUN CENTER (TEMPORARY EVENT),455 WEAVER PARK RD LONGMONT CO USA,TEMP EVENT ON SITE PREP,TEMPORARY EVENTS,40.16238, -105.08243,40.1617384,-105.0825938
FA0005142,FRESH BREADS AND PASTRIES (SPECIAL EVENT),1070 S UNION BLVD LAKEWOOD CO USA,SPECIAL EVENT,SPECIAL EVENT,39.69718, -105.129378,39.6970315,-105.1288806
FA0000491,(CU) LIBBY DINING CENTER,UNIVERSITY OF COLORADO BOULDER CO USA,RESTAURANT MORE THAN 200 SEATS,RESIDENTIAL FACILITIES,,,40.00758099999999,-105.2659417
FA0002670,BIG DADDYS PIZZA,1280 CENTAUR VILLAGE DR UNIT 11 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.987478, -105.107815,39.987316,-105.10691
FA0005172,SOL COFFEE (MOBILE),471 MAIN ST LONGMONT CO USA,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,40.167104, -105.102507,40.1671014,-105.1028936
FA0000159,AVANTI F&B COMMISSARY & BARS,1401 PEARL ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,RETAIL COMMISSARY,40.018448, -105.277366,40.018652,-105.2771752
FA0004858,MY NEIGHBOR FELIX,901 PEARL ST BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.017169, -105.283458,40.0173605,-105.2835411
FA0001451,DOMINOS PIZZA 6232,1106 N MAIN ST LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.178159, -105.102432,40.17812869999999,-105.1019137
FA0002562,ND STREETBAR,1035 PEARL ST BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.01752, -105.281808,40.0177735,-105.2819288
FA0000443,EFRAINS II,1630 63RD ST UNIT 10 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.015424, -105.206745,40.01538439999999,-105.2061839
FA0001240,OLD OAK COFFEEHOUSE THE,136 2ND AVE UNIT B NIWOT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.103255, -105.172367,40.1033807,-105.1721789
FA0005194,ND STREETBAR,1232 S HOVER ST UNIT C400 LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.145147, -105.13073,40.1474598,-105.1295603
FA0002645,BIRDCALL 29TH ST,1675 29TH ST UNIT 1284 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.016178, -105.256155,40.0163558,-105.2566462
FA0004663,COFFEE BAR MEDTRONIC BOULDER,5920 LONGBOW DR UNIT 2 BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.064309, -105.215132,40.0640238,-105.2155232
FA0004929,BOULDER BAKED,5290 ARAPAHOE AVE UNIT H BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.014608, -105.229634,40.0141177,-105.2298146
FA0001072,SPOTTED JAMES THE,1911 11TH ST UNIT 100 BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,BARS FRATERNAL ORGANIZATIONS,40.016901, -105.281041,40.0169521,-105.2813363
FA0000010,MOXIE BREAD COMPANY,641 MAIN ST LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.976678, -105.132138,39.9767175,-105.1323027
FA0000851,TARGET STORE 64,2800 PEARL ST T64 BOULDER CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,FAST FOOD LIMITED MENU,40.02253, -105.257515,40.0218233,-105.2558731
FA0005510,CROSSING NUTRITION THE,1455 COAL CREEK DR Lafayette CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,39.985685, -105.096395,39.985591,-105.096899
FA0000038,HOLY CREPE,1650 BROADWAY ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.013895, -105.278603,40.0139508,-105.2782063
FA0002274,SWAYLOS TIKI,1315 DRY CREEK DR LONGMONT CO USA,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,40.143105, -105.134197,40.1431666,-105.1348953
FA0003637,R GALLERY,2027 BROADWAY BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.018475, -105.280186,40.0184225,-105.2805154
FA0000541,MILLSITE INN,44365 HWY 72 WARD CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.078939, -105.502366,40.0787268,-105.5026772
FA0005012,WONDER PRESS COMMISSARY,5461 Western AVE UNIT D BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,RETAIL COMMISSARY,40.017761, -105.226195,40.018223,-105.226383
FA0005097,FAROW,7916 NIWOT RD UNIT 100 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.101608, -105.168631,40.1013599,-105.1687535
FA0001647,CANTINA LUNADA,1225 KEN PRATT BLVD UNIT 100 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.152326, -105.114332,40.15214599999999,-105.1110721
FA0002675,LAWLESS CRAIGS,2450 KITTRIDGE LOOP DR BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.001644, -105.262178,40.0012262,-105.2622739
FA0000926,DIA Y NOCHE CAFE,830 LASHLEY ST UNIT G LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.173475, -105.088302,40.1733055,-105.087283
FA0005295,RED GARDEN RESTAURANT &  BREWING,1700 DOGWOOD ST LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,39.965999, -105.117228,39.9654248,-105.1168962
FA0002303,CHICKEN ON THE HILL,1119 13TH ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.00765, -105.276227,40.007632,-105.2765075
FA0000800,GHOST BOX PIZZA,103 S PUBLIC RD LAFAYETTE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.997967, -105.090452,39.9979618,-105.0908376
FA0004792,CU ATHLETICS,2150 STADIUM DR BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.010722, -105.265426,40.0092353,-105.2679383
FA0005100,ROCKY MOUNTAIN TAP & GARDEN,1071 COURTESY RD LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.980397, -105.127872,39.98060359999999,-105.1289563
FA0001350,VIET KITCHEN (AT ATLAS VALLEY),2770 ARAPAHOE RD UNIT 116 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.014659, -105.131672,40.0135444,-105.1329667
FA0003471,META BURGER,1905 S 29TH ST UNIT 1174 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.020497, -105.256325,40.0204769,-105.256543
FA0001760,A AND J ALLIANCE,1225 ALPINE AVE BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.025522, -105.281675,40.0260081,-105.2815083
FA0004498,KIMS FOOD TO GO,1121 BROADWAY ST UNIT 103 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.007855, -105.275238,40.0077435,-105.2753449
FA0000907,BUSABA,4800 BASELINE RD UNIT A-110 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.000017, -105.233937,39.9980269,-105.2328968
FA0000885,TAJ MAHAL III,1075 SOUTH BOULDER RD UNIT 145 LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,,,39.9878773,-105.1295946
FA0004764,MILES SPORTS PUB & GRUB,328 MCCASLIN BLVD Louisville CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.951178, -105.164926,39.96572310000001,-105.1617432
FA0003878,PHO KITCHEN BAR & GRILL,2900 BASELINE RD UNIT 3 BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.000016, -105.255701,39.9998548,-105.2558233
FA0003408,POR WINE HOUSE,701 A MAIN ST LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.977054, -105.132138,39.9769925,-105.1325197
FA0000696,FLOWER CHILD,2580 ARAPAHOE AVE BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,40.014555, -105.26049,40.0141238,-105.2611205
FA0005062,WILLIAM OLIVERS PUBLICK HOUSE,201 N PUBLIC RD UNIT 1C LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.999411, -105.090471,39.999373,-105.0908376
FA0000183,MOUNTAIN FOUNTAIN THE,11809 N 75TH ST LONGMONT CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.18907, -105.178127,40.1900168,-105.1788164
FA0000805,FLOWER PEPPER RESTAURANT,2655 BROADWAY ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.025178, -105.282054,40.0252212,-105.2824685
FA0003543,MENCHIES #052,535 W SOUTH BOULDER RD UNIT 270 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.987008, -105.095729,39.9873941,-105.0956372
FA0000456,LA MARIPOSA RESTAURANT(LYONS),112 E MAIN ST LYONS CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,,,40.2220558,-105.2640528
FA0000089,MAMA MEADS PIZZERIA,900 COFFMAN ST UNIT B LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.174235, -105.103775,40.1742576,-105.1033641
FA0005024,JFE SUSHI SC4987 (INSIDE SAMS CLUB),1200 S HOVER ST Longmont CO USA,RESTAURANT 0 TO 100 SEATS,GROCERY FINISHED FOODS,40.145511, -105.130729,40.1490253,-105.1305046
FA0002811,DELICIOUS ZS,802 S PUBLIC RD UNIT D LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.990902, -105.090481,39.99104,-105.090192
FA0005251,GURKHAS RESTAURANT,2347 CLOVER BASIN DR Longmont CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.144098, -105.131965,40.1430897,-105.1312177
FA0005405,HIGHLAND CITY CLUB,885 ARAPAHOE AVE Boulder CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.013066, -105.283877,40.01337770000001,-105.2841223
FA0002787,WAL MART SUPER CENTER 1045,745 N HWY 287 LAFAYETTE CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,GROCERY FINISHED FOODS,40.005415, -105.102991,40.00577320000001,-105.1050654
FA0001168,SUBWAY #6752,5290 E ARAPAHOE AVE UNIT C BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.014608, -105.229634,40.01411,-105.2294947
FA0001175,QUARTERS BAR+ARCADE,475 MAIN ST LONGMONT CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.167209, -105.102507,40.1671915,-105.1027115
FA0004936,COSMOS PIZZA,520 W SOUTH BOULDER RD UNIT C LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.986896, -105.096751,39.9865489,-105.0967752
FA0000614,PARMA TRATTORIA MOZZARELLA BAR,1132 W DILLON RD UNIT E 1 LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.961897, -105.166931,39.9616196,-105.1672438
FA0005554,ROSETTA HALL STALL 2,1109 WALNUT ST Boulder CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.016685, -105.28053,40.0170388,-105.2806943
FA0004790,VAPOR DISTILLERY,5311 WESTERN AVE UNIT 180 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.017631, -105.228771,40.0177689,-105.2289855
FA0001244,SHIFU EXPRESS,100 E SOUTH BOULDER RD UNIT 104 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.986877, -105.090055,39.9864873,-105.0901525
FA0005166,WYATTS WINES AND SPIRITS,1250 S HOVER RD UNIT C-100 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.14408, -105.130729,40.1454795,-105.1306569
FA0005218,MARRIOTT RESIDENCE INN,2550 CANYON BLVD Boulder CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.017379, -105.260393,40.0168462,-105.2609065
FA0001375,TEQUILA Y MEZCHAL,1631 COALTON RD SUPERIOR CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.928965, -105.148592,39.9295913,-105.1499295
FA0002856,PMR CAFE THE,6165 GUNBARREL AVE BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.061802, -105.210033,40.062237,-105.2100193
FA0005422,NO QUE NO (MOBILE),4920 PEARL ST UNIT D Boulder CO USA,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,40.025673, -105.238076,40.025388,-105.2377392
FA0005359,DOLLAR TREE #07518,4800 BASELINE RD UNIT A108 Boulder CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,GROCERY FINISHED FOODS,40.000017, -105.234005,39.9980269,-105.2328968
FA0003545,SUSHI YOSHI RESTAURANT,917 FRONT ST UNIT 100 LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.979178, -105.130796,39.9791476,-105.1310578
FA0005472,COMA MEXICAN GRILL,4800 BASELINE RD UNIT E-105 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.000017, -105.234005,39.9980269,-105.2328968
FA0005162,BARTACO,1048 PEARL ST UNIT 101 BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.01749, -105.281948,40.0171028,-105.2821569
FA0001166,SUBWAY,400 W SOUTH BOULDER RD LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.986898, -105.094961,39.9856206,-105.0950923
FA0000794,CANYON MARKET PLACE,1601 DRY CREEK DR LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.13793, -105.135778,40.1394925,-105.1357634
FA0000737,SMACK DADDY PIZZA,829 MAIN ST UNIT 4 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.173391, -105.102492,40.1734871,-105.1030472
FA0000251,TEOCALLI COCINA,103 N PUBLIC RD UNIT C LAFAYETTE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.998475, -105.090455,39.9984366,-105.090651
FA0005233,SHOPEYS PIZZA,640 MAIN ST UNIT D Louisville CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.976661, -105.132138,39.9766071,-105.1318801
FA0000526,MELTING POT RESTAURANT,732 MAIN ST LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.97752, -105.132139,39.9774863,-105.131903
FA0003704,TWISTED ROOTS YOGURT,1749 N MAIN ST UNIT C LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.19003, -105.102334,40.1904603,-105.102774
FA0005026,WHOLE FOODS MARKET,1250 S HOVER RD UNIT 300 LONGMONT CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,GROCERY FINISHED FOODS,40.14408, -105.130729,40.1451799,-105.1294157
FA0000217,COSTCO WHOLESALE 480,600 MARSHALL RD SUPERIOR CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,GROCERY FINISHED FOODS,39.960458, -105.173554,39.9604642,-105.174578
FA0001243,ROSETTA HALL STALL 10 BAR,1109 WALNUT ST BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.016685, -105.28053,40.0170388,-105.2806943
FA0004757,FRONT RANGE BREWING CO,400 W SOUTH BOULDER RD UNIT 1650 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.986898, -105.094961,39.9854231,-105.0944962
FA0003315,TORTILLERIA LAS 5 AMERICAS,111 S PUBLIC RD LAFAYETTE CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,FULL MENU LIMITED SERVICE,39.99742, -105.090453,39.9979618,-105.0908376
FA0001225,CHIMERA,2014 10TH ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.017631, -105.282705,40.0177366,-105.2824094
FA0003542,BITTERSWEET CAFE & CONFECTIONS,836 MAIN ST LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.97844, -105.132145,39.9784334,-105.1318573
FA0005260,CAVEGIRL COFFEEHOUSE,720 100 YEAR PARTY CT UNIT 100 LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,40.134611, -105.104657,40.1346254,-105.1044716
FA0005180,RAISING CANES,1236 S HOVER ST LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,40.147472, -105.13071,40.14743139999999,-105.1303198
FA0005208,VEGETABLE EXPRESS THE (MOBILE),750 HWY 72N Nederland CO USA,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,,,39.9613759,-105.5108312
FA0004648,EINSTEIN BROS BAGELS #3631,548 W SOUTH BOULDER RD UNIT A LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.986899, -105.09661,39.9862901,-105.0979856
FA0005227,BENTO RIA SUSHI & POKE,1310 COLLEGE AVE UNIT 240 Boulder CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.007302, -105.275896,40.0071271,-105.2759509
FA0005211,HILTON GARDEN INN - BOULDER,2701 CANYON BLVD BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.017466, -105.259502,40.018142,-105.2589568
FA0005195,ZIGGIS COFFEE,1055 COURTESY RD LOUISVILLE CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,39.980155, -105.12787,39.9799804,-105.129013
FA0005352,TEENS (PANTRY),151 EAST ST Nederland CO USA,NO FEE LICENSE K12 SCHOOLS NON PROFIT,FOOD BANK,39.962415, -105.505586,39.9620987,-105.5045315
FA0004844,MARCOS PIZZA,1230 S HOVER ST UNIT B100 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.145169, -105.13073,40.1472877,-105.1272329
FA0005451,INN BETWEEN THE (PANTRY),515 KIMBARK ST Longmont CO USA,NO FEE LICENSE K12 SCHOOLS NON PROFIT,FOOD BANK,40.167953, -105.10119,40.1680148,-105.1015483
FA0005406,BABETTES,2030 IONOSPHERE ST UNIT G-H Longmont CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.13461, -105.103541,40.1346269,-105.103284
FA0000725,TANGERINE RESTAURANT,300 S PUBLIC RD LAFAYETTE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.995989, -105.090453,39.99602480000001,-105.090221
FA0003331,SIMPLY BULK MARKET,418 MAIN ST LONGMONT CO USA,GROCERY STORE 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.166207, -105.102512,40.1661884,-105.1022275
FA0000237,FALAFEL KING,1314 PEARL ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.018269, -105.278224,40.0180273,-105.2781567
FA0005539,CRUMBL COOKIES,1805 29TH ST UNIT 1136 Boulder CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.019394, -105.256275,40.0187817,-105.2564546
FA0000140,WEST SIDE TAVERN,1283 3RD AVE LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.166748, -105.115433,40.1666013,-105.1155487
FA0005506,SCRATCH (INSIDE 300 SUNS BREWING),335 1ST AVE Longmont CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.160222, -105.10106,40.1599201,-105.1012742
FA0005535,SPRUCE CAFE,3775 DISCOVERY DR Boulder CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.00948, -105.244383,40.0100042,-105.2438869
FA0004707,PRECISION POURS A COFFEE HOUSE,1030 E SOUTH BOULDER RD LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.986847, -105.131426,39.9866822,-105.1314461
FA0004873,LAS X AMERICAS TORTILLERIA Y CARNICERIA,2887 30TH ST BOULDER CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.028569, -105.253674,40.0284999,-105.254269
FA0005204,MOD PIZZA,1137 DIAMOND CIR UNIT 400 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.003842, -105.103481,40.0042908,-105.1035248
FA0005296,SAVANNAH BEE COMPANY,1222 PEARL ST UNIT B Boulder CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.017971, -105.279701,40.0177234,-105.2792527
FA0004669,SUSHI BOX,1844 HOVER ST UNIT C LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.191788, -105.130933,40.1917857,-105.1302355
FA0005067,PHO HUONG VIET,1232 S HOVER ST UNIT C200 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.145147, -105.13073,40.1476325,-105.1295059
FA0005455,SWEET DOODLES FROYO,1 SUPERIOR DR Superior CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,39.952182, -105.15962,39.9527344,-105.158882
FA0000971,VIA TOSCANA,356 S MCCASLIN BLVD LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.9654, -105.16331,39.9654375,-105.1614611
FA0005226,ACREAGE STEM CIDER,1380 HORIZON VW UNIT D-155 Lafayette CO USA,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,39.98199, -105.063355,39.9858662,-105.0946531
FA0005223,LONGS PEAK GROCERY MARKET,1125 FRANCIS ST LONGMONT CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.178882, -105.116546,40.1785816,-105.116948
FA0005130,AMPERSAND COFFEE ROASTER,6560 ODELL PL UNIT C BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.073609, -105.200902,40.0732478,-105.2009287
FA0004851,CARIBOU ROOM THE,55 INDIAN PEAKS DR NEDERLAND CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.971541, -105.508689,39.9708827,-105.5088785
FA0001052,ST VRAIN SUPER MARKET DELI BAKERY,455 MAIN ST LYONS CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.224681, -105.271214,40.2244404,-105.2712769
FA0000391,HAOWAY CHINESE CAFE,1678 30TH ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.016524, -105.253599,40.0163803,-105.2526305
FA0005330,HARVEST OF HOPE PANTRY,2960 VALMONT RD Boulder CO USA,NO FEE LICENSE K12 SCHOOLS NON PROFIT,FOOD BANK,40.029164, -105.254632,40.0287394,-105.2545939
FA0000093,BOULDER MARRIOTT,2660 CANYON BLVD BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.017352, -105.259828,40.0161241,-105.2601208
