facility_name_plus,violations
BOULDER - ABOS PIZZA SOUTH - 637 S BROADWAY ST UNIT S,"2015-02-23 - food temperature control - cold hold at 41 degrees or less_2017-02-07 - personnel - hygienic practices_2017-02-07 - toilets/handwashing - accessible_2017-02-07 - water/sewage/plumbing - hot and cold water under pressure_2017-02-07 - equipment/utensil cleaning - food contact surfaces cleaning_2017-02-07 - food labeling/protection - food protected from contamination_2019-07-22 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_2019-07-22 - personnel - no bare hand contact with rte food or a pre-approved alternative procedure properly allowed_2019-07-22 - pest control - insects, rodents, & animals not present_2019-07-22 - personnel - procedures for responding to vomiting and diarrheal events_2019-07-22 - food source - proper date marking and disposition_2019-07-22 - personnel - certified food protection manager_2019-10-11 - personnel - no bare hand contact with rte food or a pre-approved alternative procedure properly allowed_2019-10-11 - food labeling/protection - food separated and protected_2019-10-11 - personnel - certified food protection manager_"
BOULDER - AFC SUSHI @ SAFEWAY #1615 - 3325 28TH ST,2016-05-03 - poisons/toxins - properly labeled_2019-05-15 - personnel - hands clean & properly washed_
BOULDER - AFC SUSHI @ SAFEWAY #2911 - 2798 ARAPAHOE AVE,2017-06-08 - food source - consumer advisory_2017-06-08 - personnel - hands washed as needed_2019-11-22 - food temperature control - proper cold holding temperatures_2019-11-22 - personnel - procedures for responding to vomiting and diarrheal events_
BOULDER - AFC SUSHI @ SAFEWAY #2919 - 4800 E BASELINE RD,2016-06-30 - personnel - hygienic practices_
BOULDER - ALI BABA GRILL - 3054 28TH ST,2014-01-29 - equipment/utensil cleaning - chemical test kits provided accessible_2014-01-29 - poisons/toxins - properly used_2014-01-29 - food temperature control - food thermometer_2015-12-02 - personnel - hygienic practices_2015-12-02 - poisons/toxins - properly stored_2015-12-02 - food temperature control - food thermometer_2015-12-02 - toilets/handwashing - soap and drying devices_2015-12-02 - water/sewage/plumbing - backflow back siphonage_2017-02-02 - food temperature control - food thermometer_2017-02-02 - equipment/utensil cleaning - chemical test kits provided accessible_2017-02-02 - food temperature control - refrigeration units with accurate thermometers_2017-02-02 - toilets/handwashing - accessible_2018-11-15 - physical facilities - floors walls ceilings_2018-11-15 - water/sewage/plumbing - backflow back siphonage_
BOULDER - ALOY THAI CUISINE - 2720 CANYON BLVD,"2013-11-07 - toilets/handwashing - soap and drying devices_2016-04-11 - food temperature control - cold hold at 41 degrees or less_2019-03-05 - physical facilities - physical facilities installed, maintained, & clean_2019-03-05 - food temperature control - time as a public health control; procedures & records_"
BOULDER - ALPINE MODERN - 904 COLLEGE AVE,"2014-02-24 - water/sewage/plumbing - backflow back siphonage_2016-01-08 - equipment design/contstruction - food-contact surfaces construction_2016-01-08 - personnel - smoking eating drinking_2016-01-08 - food temperature control - food thermometer_2016-01-08 - food temperature control - adequate equipment to maintain food temperatures_2016-01-08 - food temperature control - hot hold at 135 degrees farenheit or greater_2016-01-08 - personnel - hands washed as needed_2016-01-08 - personnel - no bare hand contact_2016-01-08 - water/sewage/plumbing - plumbing installed maintained_2016-01-08 - toilets/handwashing - physical facilities adequate toilet facilities_2016-01-08 - food labeling/protection - food protected from contamination_2016-01-08 - food temperature control - cold hold at 41 degrees or less_2016-01-08 - physical facilities - floors walls ceilings_2017-01-12 - poisons/toxins - properly labeled_2017-01-12 - personnel - hands washed as needed_2017-01-12 - food temperature control - hot hold at 135 degrees farenheit or greater_2019-02-06 - poisons/toxins - toxic substances properly identified, stored & used_2019-02-06 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_"
BOULDER - AMANTE BASELINE - 2850 BASELINE RD UNIT A4,"2013-03-26 - food temperature control - cold hold at 41 degrees or less_2013-03-26 - utensils - equipment utensils provided used, stored_2013-03-26 - equipment/utensil cleaning - chemical test kits provided accessible_2013-03-26 - toilets/handwashing - soap and drying devices_2016-02-16 - poisons/toxins - properly labeled_2016-02-16 - personnel - hands washed as needed_2018-11-16 - personnel - hygienic practices_2018-11-16 - toilets/handwashing - accessible_2018-11-16 - poisons/toxins - properly stored_"
BOULDER - AMANTE UPTOWN - 4580 BROADWAY ST UNIT A,"2013-09-20 - personnel - hygienic practices_2014-12-10 - food temperature control - cold hold at 41 degrees or less_2014-12-10 - toilets/handwashing - accessible_2017-02-27 - food temperature control - food thermometer_2017-02-27 - personnel - smoking eating drinking_2017-02-27 - equipment/utensil cleaning - mechanical_2017-02-27 - toilets/handwashing - accessible_2017-02-27 - poisons/toxins - properly labeled_2017-02-27 - food source - wholesome free of spoilage_2017-02-27 - toilets/handwashing - soap and drying devices_2019-01-25 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_2019-01-25 - poisons/toxins - toxic substances properly identified, stored & used_2019-01-25 - water/sewage/plumbing - plumbing installed; proper backflow devices_"
BOULDER - AMANTE WALNUT II - 1023 WALNUT ST,2017-02-23 - food temperature control - adequate equipment to maintain food temperatures_2017-02-23 - food source - consumer advisory_2017-02-23 - equipment/utensil cleaning - wiping cloths_2017-02-23 - food labeling/protection - food protected from contamination_2017-02-23 - personnel - hands washed as needed_2017-02-23 - food temperature control - refrigeration units with accurate thermometers_2017-02-23 - equipment/utensil cleaning - chemical test kits provided accessible_2017-02-23 - poisons/toxins - properly stored_2017-02-23 - utensils - single service articles stored dispensed used_2017-02-23 - water/sewage/plumbing - plumbing installed maintained_2019-09-10 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_2019-09-10 - personnel - certified food protection manager_2019-09-10 - personnel - procedures for responding to vomiting and diarrheal events_
BOULDER - AMERICAN LEGION BOULDER POST 10 - 4760 N 28TH AVE,2015-04-09 - toilets/handwashing - soap and drying devices_2017-05-09 - food source - cross contamination_2017-05-09 - water/sewage/plumbing - backflow back siphonage_2017-05-09 - toilets/handwashing - soap and drying devices_2017-05-09 - equipment/utensil cleaning - mechanical_
BOULDER - AMPERSAND COFFEE ROASTER - 6560 ODELL PL UNIT C,2017-07-06 - personnel - smoking eating drinking_2019-03-19 - personnel - procedures for responding to vomiting and diarrheal events_
BOULDER - AOI - 3303 30TH ST,2014-07-22 - food labeling/protection - original container properly labeled_2014-07-22 - utensils - single service articles stored dispensed used_2014-07-22 - food temperature control - cold hold at 41 degrees or less_2017-02-15 - personnel - hands washed as needed_2017-02-15 - food source - cross contamination_2017-02-15 - food temperature control - cold hold at 41 degrees or less_2017-02-15 - personnel - hygienic practices_2017-02-15 - personnel - smoking eating drinking_
BOULDER - APERITIVO - 5530 SPINE RD,"2017-08-18 - toilets/handwashing - soap and drying devices_2017-08-18 - equipment design/contstruction - non-food contact surfaces construction_2017-08-18 - personnel - hygienic practices_2017-08-18 - personnel - personnel: clean clothes hair restraints authorizat_2019-04-18 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_2019-04-18 - water/sewage/plumbing - hot & cold water available; adequate pressure_2019-04-18 - personnel - no bare hand contact with rte food or a pre-approved alternative procedure properly allowed_2019-04-18 - equipment design/contstruction - food & non-food contact surfaces cleanable, properly designed, constructed, & used_2019-04-18 - personnel - certified food protection manager_2019-04-18 - personnel - procedures for responding to vomiting and diarrheal events_2019-04-18 - personnel - proper eating, tasting, drinking, or tobacco use_2019-04-18 - personnel - hands clean & properly washed_2019-04-18 - food source - consumer advisory provided for raw/undercooked food_2019-04-18 - pest control - contamination prevented during food preparation, storage & display_2019-04-18 - food source - contamination prevented during food preparation, storage & display_2019-04-18 - food temperature control - proper cold holding temperatures_"
BOULDER - ARABESQUE - 1634 WALNUT ST STE 101,2014-06-02 - food temperature control - cold hold at 41 degrees or less_2016-06-14 - poisons/toxins - properly labeled_2016-06-14 - pest control - evidence of insects or rodents_2019-06-10 - food temperature control - proper cold holding temperatures_2019-06-10 - personnel - procedures for responding to vomiting and diarrheal events_2019-06-10 - personnel - certified food protection manager_2019-06-10 - personnel - no bare hand contact with rte food or a pre-approved alternative procedure properly allowed_2019-06-10 - personnel - hands clean & properly washed_
BOULDER - ARCANA RESTAURANT - 909 WALNUT ST,2016-07-22 - personnel - hands washed as needed_2016-07-22 - equipment/utensil cleaning - chemical test kits provided accessible_2016-07-22 - water/sewage/plumbing - plumbing installed maintained_2016-07-22 - personnel - no bare hand contact_2016-07-22 - food source - haccp plan_2019-02-19 - food source - proper date marking and disposition_2019-02-19 - food source - compliance with variance / specialized process / haccp_
BOULDER - AREPA JOINT THE (MOBILE) - 4920 PEARL ST UNIT C&D,2017-10-06 - personnel - hygienic practices_2017-10-06 - personnel - hands washed as needed_
BOULDER - ASH KARA - 1043 PEARL ST,"2013-01-16 - food temperature control - cooling methods_2013-01-16 - poisons/toxins - properly labeled_2013-01-16 - toilets/handwashing - soap and drying devices_2013-01-16 - food temperature control - cold hold at 41 degrees or less_2013-01-16 - personnel - no bare hand contact_2013-01-16 - personnel - hygienic practices_2013-01-16 - toilets/handwashing - accessible_2013-01-16 - personnel - training needed_2017-03-13 - utensils - equipment utensils provided used, stored_2017-03-13 - equipment/utensil cleaning - food contact surfaces cleaning_2017-03-13 - personnel - smoking eating drinking_2017-03-13 - equipment design/contstruction - non-food contact surfaces construction_2017-03-13 - equipment/utensil cleaning - mechanical_2017-03-13 - toilets/handwashing - soap and drying devices_2017-03-13 - personnel - hands washed as needed_2017-03-13 - personnel - no bare hand contact_"
BOULDER - ASTRO COFFEE BAR - 2052 BROADWAY ST,2015-03-09 - personnel - smoking eating drinking_2015-03-09 - personnel - hands washed as needed_2015-03-09 - food temperature control - cold hold at 41 degrees or less_2015-03-09 - food temperature control - adequate equipment to maintain food temperatures_2015-03-09 - personnel - training needed_2015-03-09 - personnel - wounds properly covered_2015-03-09 - food labeling/protection - food protected from contamination_2015-03-09 - personnel - no bare hand contact_2016-01-21 - poisons/toxins - properly labeled_2016-01-21 - utensils - no reuse of single service articles_2017-07-13 - personnel - hands washed as needed_2017-07-13 - pest control - animals prohibited_2017-07-13 - poisons/toxins - properly labeled_
BOULDER - ATTIC BAR AND BISTRO - 949 WALNUT ST,"2013-08-14 - food temperature control - adequate equipment to maintain food temperatures_2013-08-14 - personnel - no bare hand contact_2013-08-14 - water/sewage/plumbing - hot and cold water under pressure_2013-08-14 - food temperature control - cold hold at 41 degrees or less_2013-08-14 - personnel - hygienic practices_2013-08-14 - personnel - hands washed as needed_2016-03-25 - poisons/toxins - properly labeled_2016-03-25 - personnel - no bare hand contact_2016-03-25 - food source - cross contamination_2016-03-25 - personnel - hands washed as needed_2018-04-13 - food source - consumer advisory_2018-04-13 - poisons/toxins - properly labeled_2018-04-13 - utensils - equipment utensils provided used, stored_2018-04-13 - poisons/toxins - properly stored_2018-04-13 - personnel - hands washed as needed_"
BOULDER - AVANTI F&B COMMISSARY & BARS - 1401 PEARL ST,2013-02-13 - food temperature control - cold hold at 41 degrees or less_2015-10-26 - equipment/utensil cleaning - mechanical_2015-10-26 - physical facilities - floors walls ceilings_2015-10-26 - water/sewage/plumbing - hot and cold water under pressure_2017-04-24 - food labeling/protection - food protected from contamination_2017-04-24 - personnel - hygienic practices_2017-04-24 - toilets/handwashing - soap and drying devices_2018-04-18 - food temperature control - cold hold at 41 degrees or less_2018-08-31 - personnel - no bare hand contact_2018-08-31 - personnel - hands washed as needed_
BOULDER - AVERY BREWING COMPANY - 4910 N NAUTILUS CT,2015-04-03 - food source - consumer advisory_2015-04-03 - food temperature control - adequate equipment to maintain food temperatures_2015-04-03 - food labeling/protection - food protected from contamination_2015-04-03 - food temperature control - cold hold at 41 degrees or less_2015-04-03 - toilets/handwashing - soap and drying devices_2015-04-03 - personnel - hands washed as needed_2015-04-03 - personnel - smoking eating drinking_2015-04-03 - equipment/utensil cleaning - wiping cloths_2015-04-03 - equipment/utensil cleaning - mechanical_2015-04-03 - equipment/utensil cleaning - chemical test kits provided accessible_2015-04-03 - personnel - no bare hand contact_2015-12-30 - food temperature control - cold hold at 41 degrees or less_2015-12-30 - personnel - hands washed as needed_2015-12-30 - food temperature control - adequate equipment to maintain food temperatures_2015-12-30 - equipment/utensil cleaning - mechanical_2018-02-13 - personnel - smoking eating drinking_2018-02-13 - food temperature control - required cooking temperature_2018-02-13 - toilets/handwashing - soap and drying devices_2019-03-21 - personnel - certified food protection manager_2019-03-21 - water/sewage/plumbing - plumbing installed; proper backflow devices_2019-03-21 - food temperature control - proper hot holding temperatures_2019-03-21 - personnel - procedures for responding to vomiting and diarrheal events_2019-03-21 - food temperature control - proper cold holding temperatures_2019-03-21 - equipment/utensil cleaning - food contact surfaces; cleaned & sanitized_
BOULDER - BACCO TRATTORIA - 1200 YARMOUTH AVE UNIT A,2014-06-12 - food temperature control - cold hold at 41 degrees or less_2014-06-12 - food temperature control - adequate equipment to maintain food temperatures_2014-06-12 - toilets/handwashing - soap and drying devices_2017-03-02 - personnel - hands washed as needed_2017-03-02 - food temperature control - cooling methods_2017-03-02 - toilets/handwashing - soap and drying devices_2017-03-02 - personnel - training needed_2017-03-02 - personnel - no bare hand contact_2017-03-02 - food source - approved source_2017-03-02 - food source - consumer advisory_2018-11-27 - food source - approved source_2018-11-27 - toilets/handwashing - accessible_2018-11-27 - food source - consumer advisory_
BOULDER - BACK COUNTRY PIZZA AND TAP HOUSE - 2319 ARAPAHOE RD,2014-04-17 - food temperature control - cold hold at 41 degrees or less_2014-04-17 - water/sewage/plumbing - hot and cold water under pressure_2016-05-19 - personnel - smoking eating drinking_2016-05-19 - personnel - no bare hand contact_2016-05-19 - toilets/handwashing - soap and drying devices_2016-05-19 - food temperature control - cold hold at 41 degrees or less_2016-05-19 - personnel - hands washed as needed_2017-05-02 - water/sewage/plumbing - backflow back siphonage_2017-05-02 - food temperature control - cold hold at 41 degrees or less_2017-05-02 - physical facilities - floors walls ceilings_2017-05-02 - equipment/utensil cleaning - non-food contact surfaces cleaning_
BOULDER - BARNES AND NOBLE BOOKSELLERS - 2999 PEARL ST,2016-08-23 - toilets/handwashing - accessible_2016-08-23 - food temperature control - cold hold at 41 degrees or less_2019-11-14 - personnel - procedures for responding to vomiting and diarrheal events_2019-11-14 - personnel - certified food protection manager_2019-11-14 - water/sewage/plumbing - hot & cold water available; adequate pressure_
BOULDER - BARTACO - 1048 PEARL ST UNIT 101,2017-09-19 - food temperature control - cold hold at 41 degrees or less_2017-09-19 - water/sewage/plumbing - hot and cold water under pressure_2017-09-19 - personnel - hands washed as needed_2017-09-19 - equipment/utensil cleaning - mechanical_
BOULDER - BASECAMP HOTEL - 2020 ARAPAHOE AVE,2016-06-10 - toilets/handwashing - soap and drying devices_2016-06-10 - water/sewage/plumbing - hot and cold water under pressure_2016-06-10 - food temperature control - food thermometer_2019-01-29 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_2019-01-29 - food source - proper date marking and disposition_
BOULDER - BELEZA COFFEE BAR - 2680 BROADWAY ST,2013-08-21 - food temperature control - cold hold at 41 degrees or less_2013-08-21 - poisons/toxins - properly labeled_2013-08-21 - equipment/utensil cleaning - wiping cloths_2013-08-21 - food temperature control - adequate equipment to maintain food temperatures_2013-08-21 - equipment/utensil cleaning - chemical test kits provided accessible_2013-08-21 - equipment/utensil cleaning - mechanical_2013-08-21 - personnel - smoking eating drinking_2013-08-21 - poisons/toxins - properly used_2016-01-22 - equipment/utensil cleaning - mechanical_2017-05-10 - personnel - smoking eating drinking_2017-05-10 - poisons/toxins - properly labeled_2019-03-21 - personnel - certified food protection manager_
BOULDER - BEN AND JERRYS - 1203 PEARL ST,2013-10-28 - food labeling/protection - food protected from contamination_2013-10-28 - food source - wholesome free of spoilage_2013-10-28 - personnel - training needed_2013-10-28 - equipment design/contstruction - non-food contact surfaces construction_2018-03-07 - poisons/toxins - properly stored_2018-03-07 - water/sewage/plumbing - backflow back siphonage_2018-03-07 - poisons/toxins - properly labeled_
BOULDER - BENTO RIA SUSHI & POKE - 1310 COLLEGE AVE UNIT 240,2018-03-23 - personnel - no bare hand contact_2018-03-23 - personnel - hands washed as needed_2018-03-23 - food source - consumer advisory_2018-03-23 - food temperature control - hot hold at 135 degrees farenheit or greater_
BOULDER - BEST WESTERN PLUS BOULDER INN - 770 28TH ST,"2013-05-06 - water/sewage/plumbing - sewage disposal_2013-05-06 - equipment design/contstruction - food-contact surfaces construction_2013-05-06 - food source - cross contamination_2013-05-06 - water/sewage/plumbing - backflow back siphonage_2013-05-06 - poisons/toxins - properly stored_2016-02-29 - food temperature control - cold hold at 41 degrees or less_2016-02-29 - toilets/handwashing - soap and drying devices_2019-01-08 - water/sewage/plumbing - plumbing installed; proper backflow devices_2019-01-08 - food temperature control - proper cold holding temperatures_2019-01-08 - poisons/toxins - toxic substances properly identified, stored & used_2019-01-08 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_"
BOULDER - BIG DADDY BAGELS - 4800 BASELINE RD B101,2014-12-02 - food source - cross contamination_2014-12-02 - poisons/toxins - properly stored_2014-12-02 - pest control - pesticide application_2016-05-16 - pest control - pesticide application_2016-05-16 - food source - cross contamination_2017-12-13 - equipment/utensil cleaning - wiping cloths_2017-12-13 - food labeling/protection - food protected from contamination_2017-12-13 - personnel - hands washed as needed_2017-12-13 - equipment/utensil cleaning - food contact surfaces cleaning_
BOULDER - BIRDCALL 29TH ST - 1675 29TH ST UNIT 1284,2014-05-20 - food temperature control - adequate equipment to maintain food temperatures_2014-05-20 - water/sewage/plumbing - hot and cold water under pressure_2014-05-20 - food temperature control - cold hold at 41 degrees or less_2016-05-23 - water/sewage/plumbing - backflow back siphonage_2016-05-23 - water/sewage/plumbing - hot and cold water under pressure_2016-05-23 - food temperature control - cold hold at 41 degrees or less_2016-05-23 - personnel - hands washed as needed_2016-05-23 - toilets/handwashing - soap and drying devices_2017-12-20 - personnel - smoking eating drinking_2017-12-20 - toilets/handwashing - soap and drying devices_2017-12-20 - food temperature control - refrigeration units with accurate thermometers_2017-12-20 - personnel - hygienic practices_2017-12-20 - food temperature control - food thermometer_2017-12-20 - personnel - hands washed as needed_2017-12-20 - equipment/utensil cleaning - wiping cloths_2017-12-20 - food labeling/protection - food protected from contamination_2017-12-20 - poisons/toxins - properly labeled_
BOULDER - BITTER BAR THE - 835 WALNUT ST,2015-08-11 - toilets/handwashing - soap and drying devices_2017-08-25 - toilets/handwashing - soap and drying devices_2017-08-25 - personnel - no bare hand contact_
BOULDER - BJS RESTAURANT - 1690 28TH ST,2015-01-15 - water/sewage/plumbing - backflow back siphonage_2015-01-15 - food temperature control - cold hold at 41 degrees or less_2017-02-01 - personnel - smoking eating drinking_
BOULDER - BLACK CAT - 1964 13TH ST,2014-08-12 - equipment/utensil cleaning - mechanical_2017-03-03 - poisons/toxins - properly labeled_2017-03-03 - toilets/handwashing - accessible_2017-03-03 - personnel - hands washed as needed_2017-03-03 - poisons/toxins - properly used_2017-03-03 - food temperature control - cooling methods_2017-03-03 - food source - consumer advisory_2017-03-03 - toilets/handwashing - soap and drying devices_
BOULDER - BLACK PEPPER PHO - 2770 PEARL ST UNIT B,"2014-06-09 - personnel - smoking eating drinking_2014-06-09 - food temperature control - cold hold at 41 degrees or less_2014-06-09 - personnel - hygienic practices_2015-04-28 - food temperature control - cooling methods_2015-04-28 - personnel - training needed_2015-04-28 - equipment/utensil cleaning - wiping cloths_2015-04-28 - poisons/toxins - properly stored_2015-04-28 - equipment/utensil cleaning - chemical test kits provided accessible_2015-04-28 - equipment/utensil cleaning - mechanical_2015-04-28 - personnel - smoking eating drinking_2015-07-28 - personnel - smoking eating drinking_2015-07-28 - personnel - hands washed as needed_2016-06-01 - personnel - no bare hand contact_2016-06-01 - food temperature control - cooling methods_2016-06-01 - personnel - hygienic practices_2016-06-01 - poisons/toxins - properly labeled_2016-06-01 - personnel - smoking eating drinking_2016-06-01 - poisons/toxins - properly stored_2017-04-27 - food temperature control - cooling methods_2017-04-27 - personnel - hygienic practices_2017-04-27 - water/sewage/plumbing - backflow back siphonage_2017-04-27 - toilets/handwashing - accessible_2017-04-27 - toilets/handwashing - soap and drying devices_2017-04-27 - food labeling/protection - food protected from contamination_2017-04-27 - utensils - equipment utensils provided used, stored_2017-04-27 - equipment/utensil cleaning - food contact surfaces cleaning_2017-04-27 - poisons/toxins - properly stored_2017-04-27 - equipment/utensil cleaning - manual_2017-04-27 - personnel - training needed_2017-04-27 - personnel - hands washed as needed_2017-04-27 - equipment/utensil cleaning - wiping cloths_2018-05-18 - toilets/handwashing - soap and drying devices_2018-05-18 - poisons/toxins - properly labeled_2018-05-18 - toilets/handwashing - accessible_2018-05-18 - personnel - smoking eating drinking_2018-05-18 - food temperature control - cold hold at 41 degrees or less_2018-05-18 - food temperature control - cooling methods_"
BOULDER - BLACKBELLY MARKET - 1606 CONESTOGA ST UNIT 3,"2015-02-03 - personnel - training needed_2017-10-12 - personnel - hygienic practices_2017-10-12 - personnel - hands washed as needed_2017-10-12 - water/sewage/plumbing - backflow back siphonage_2017-10-12 - equipment/utensil cleaning - in place_2017-10-12 - personnel - smoking eating drinking_2019-08-02 - food source - required records available: shellstock tags, parasite destruction_2019-08-02 - food source - compliance with variance / specialized process / haccp_2019-08-02 - food temperature control - time as a public health control; procedures & records_2019-10-03 - personnel - no bare hand contact with rte food or a pre-approved alternative procedure properly allowed_"
BOULDER - BLACKJACK PIZZA AND SALADS - 3023 WALNUT ST,2014-07-11 - food temperature control - cold hold at 41 degrees or less_2014-07-11 - food temperature control - food thermometer_2014-07-11 - food temperature control - adequate equipment to maintain food temperatures_2016-05-19 - personnel - smoking eating drinking_2016-05-19 - food source - wholesome free of spoilage_2016-05-19 - pest control - evidence of insects or rodents_2016-05-19 - toilets/handwashing - accessible_2017-04-11 - personnel - training needed_2017-04-11 - equipment/utensil cleaning - dishwashing operations_2017-04-11 - physical facilities - floors walls ceilings_2017-04-11 - food labeling/protection - original container properly labeled_2017-04-11 - personnel - smoking eating drinking_2017-04-11 - food temperature control - cold hold at 41 degrees or less_
